INDIRIZZI SCHEDE A CUI SI APPLICA QUESTO DIZIONARIO,,,,,,,,,,,,,,
0x000A0441,,,,,,,,,,,,,,
OPTIMUS XP,INDIRIZZO H+L (hex),,TIPO,FORMATO,MINIMO,MASSIMO,UNITA' DI MISURA,R/W,Uso,Significato,Ubicazione in App,Nome in App,Aspetto in App,Effetti in App
Limitazione velocita,80,2A,int16_t,,0,6000,bits,R/W,,Valore di limite di velocita' di discesa del piano,,,,
Non Usato,80,2B,,,,,,,,,,,,
Non Usato,80,2C,,,,,,,,,,,,
Non Usato,80,2D,,,,,,,,,,,,
Non Usato,80,2E,,,,,,,,,,,,
Non Usato,80,2F,,,,,,,,,,,,
Non Usato,80,30,,,,,,,,,,,,
Non Usato,80,31,,,,,,,,,,,,
Non Usato,80,32,,,,,,,,,,,,
Non Usato,80,33,,,,,,,,,,,,
Non Usato,80,34,,,,,,,,,,,,
Non Usato,80,35,,,,,,,,,,,,
Non Usato,80,36,,,,,,,,,,,,
Non Usato,80,37,,,,,,,,,,,,
Non Usato,80,38,,,,,,,,,,,,
Non Usato,80,39,,,,,,,,,,,,
Non Usato,80,3A,,,,,,,,,,,,
Non Usato,80,3B,,,,,,,,,,,,
Non Usato,80,3C,,,,,,,,,,,,
Non Usato,80,3D,,,,,,,,,,,,
Non Usato,80,3E,,,,,,,,,,,,
Non Usato,80,3F,,,,,,,,,,,,
Non Usato,80,40,,,,,,,,,,,,
Non Usato,80,41,,,,,,,,,,,,
Vbus measured,80,42,uint16_t,,,,,,,,,,,
Stato Luci (3 colori RGB),80,43,uint8_t,,0,7,,R,,"bit 2=R, bit 1=G, bit 0=B",,,,
Ore lavoro pompa,80,44,,,,,,,Log,,,,,
Ore lavoro EV1,80,45,,,,,,,Log,,,,,
Ore lavoro EV2,80,46,,,,,,,Log,,,,,
Ore lavoro EV3,80,47,,,,,,,Log,,,,,
Ore lavoro EV4,80,48,,,,,,,Log,,,,,
Ore lavoro EV5,80,49,,,,,,,Log,,,,,
Ore lavoro EV6,80,4A,,,,,,,Log,,,,,
Ore lavoro EV7,80,4B,,,,,,,Log,,,,,
Ore lavoro EV8,80,4C,,,,,,,Log,,,,,
Ore lavoro EV9,80,4D,,,,,,,Log,,,,,
Ore lavoro EV10,80,4E,,,,,,,Log,,,,,
Non Usato,80,4F,bool,,0,1,,R/W,,se va a 0 prendo lo zero del piano,,,,
Numero singoli allarmi,80,50,,,,,,,Log,,,,,
Ultimo allarme,80,51,,,,,,,Log,,,,,
Numero singoli warning,80,52,,,,,,,Log,,,,,
Ultimo warning,80,53,,,,,,,Log,,,,,
Non Usato,80,54,,,,,,,,,,,,
Valore RAW del potenzio altezza,80,55,uint16_t,,0,32767,bits,R,,,,,,
Non Usato,80,56,uint16_t,,0,32767,bits,R,,,,,,
