INDIRIZZI SCHEDE A CUI SI APPLICA QUESTO DIZIONARIO,,,,,,,,,,,,,,,,,,,,
0x000200C1,,,,,,,,,,,,,,,,,,,,
TOP -LIFT-M,INDIRIZZO H (hex),INDIRIZZO L (hex),TIPO,FORMATO,MINIMO,MASSIMO,UNITA' DI MISURA,R/W,Significato,,,,,,,,,,,
Stato IO,80,36,uint32_t ,,,,,R,"Bitmapped su 2 word:
Word 0 (IN):
Bit 0: stato fine corsa piano chiuso
Bit 1: stato fine corsa piano aperto
Bit 2: stato comando Up
Bit 3: stato comando Down
Bit 4: stato comando Mem
Bit 5: stato comando Stop
Bit 6: stato comando P1
Bit 7: stato comando P2
Bit 8: stato comando P3
Bit 9: stato selettore inclina
Bit 10: stato selettore va orizzontale

Word 1 (OUT):
Bit 0: stato elettrovalvola 1
Bit 1: stato elettrovalvola 2
Bit 2: stato elettrovalvola 3 (non presente in top lift)
Bit 3: stato elettrovalvola 7
Bit 4: stato elettrovalvola 8
Bit 5: stato relè motore",,,,,,,,,,,
Gestione fine corsa,80,37,bool,,,,,RW,"0 = solo PC, 1 = PC e PA",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,LL-309VPGM2E-A-3C-G52B,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
