NOME COMANDO,CODICE CMD H (hex),CODICE CMD L (hex),DATI AGGIUNTIVI,,,,,,,,,,,,,,,,,,,,,,,,,,,
Configura telemetria,0,15,"Tipo telemetria HH:
il tipo è un codice univoco deciso dall'amministratore tramite portale all'atto del configurare la telemetria e viene usato per la decodifica dei dati binari",Tipo telemetria HL,Tipo telemetria LH,Tipo telemetria LL,"Indirizzo Destinazione HH
Inddirizzo del protocollo Stema cui inviare i messaggi di telemetria",Indirizzo Destinazione HL,Indirizzo Destinazione LH,Indirizzo Destinazione LL,Istanza Telemetria: è il numero del task in cui faccio girare questa configurazione di telemetria,Periodo ms H,Periodo ms L,"Indirizzo Scheda HH 
(normalmente è l'indirizzo della scheda da cui prelevi, 
ma potrebbe essere anche quello di un'altra)",Indirizzo Scheda HL,Indirizzo Scheda LH,Indirizzo Scheda LL,Indirizzo Logico Data1 H,Indirizzo Logico Data1 L,…,Indirizzo Logico Data8 H (Il numero di variabili è dinamico e al massimo vale SP_TEL_N_VARS che viene configurato nel firmware),Indirizzo Logico Data8 L,,,,,,,,
Imposta telemetria Risposta,80,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start telemetria,0,16,Istanza telemetria (è il numero del task o della tabella eeprom da attivare in lettura),,,,,,,,,,,,,,,,,,,,,,,,,,,
Start telemetria Risposta,80,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop telemetria,0,17,Istanza telemetria (è il numero del task o della tabella eeprom da attivare in lettura),,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop telemetria Risposta,80,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacchetto di Telemetria,0,18,"Tipo telemetria HH:
il tipo è un codice univoco deciso dall'amministratore tramite portale all'atto del configurare la telemetria e viene usato per la decodifica dei dati binari",Tipo telemetria HL,Tipo telemetria LH,Tipo telemetria LL,Dati in little endian," (viene inviato dall'unità al master
  periodicamente quando si attiva la telemetria) ",,,,,,,,,,,,,,,,,,,,,,
Configura log,0,19,"Tipo log HH:
il tipo è un codice univoco deciso dall'amministratore tramite portale all'atto del configurare il log e viene usato per la decodifica dei dati binari dei record",Tipo log HL,Tipo log LH,Tipo log LL,"Istanza log:
una macchina può gestire più istanze di datalogger",,Indirizzo Scheda Evento HL,Indirizzo Scheda Evento LH,Indirizzo Scheda Evento LL,Indirizzo Logico Evento H,Indirizzo Logico Evento L,Soglia Evento HH,Soglia Evento HL,Soglia Evento LH,Soglia Evento LL,Tipo trigger,Direzione trigger,Periodo ms H,Periodo ms L,Indirizzo Scheda HH,Indirizzo Scheda HL,Indirizzo Scheda LH,Indirizzo Scheda LL,Indirizzo Logico Data1 H,Indirizzo Logico Data1 L,…,Indirizzo Logico Data8 H,Indirizzo Logico Data8 L
Start log,0,1A,Istanza log,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start log Risposta,80,1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop log,0,1B,Istanza log,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop log Risposta,80,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richiesta log,0,1C,"Index HH:
l'indice è un codice univoco incrementale nella macchina che viene assegnato ai vari record",Index HL,Index LH,Index LL,,,,,,,,,,,,,,,,,,,,,,,,
Richiesta log Risposta,80,1C,Index HH,Index HL,Index LH,Index LL,Tipo log HH,Tipo log HL,Tipo log LH,Tipo log LL,Timestamp HH,Timestamp HL,Timestamp LH,Timestamp LL,Dati,,,,,,,,,,,,,,,
Stato connessione client BLE,0,1D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stato connessione client BLE Risposta,80,1D,"Stato
(0 = non connesso, 1 = connesso)",RSSI connessione,,,,,,,,,,,,,,,,,,,,,,,,,,
Connessione BLE,0,1E,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richiesta configurazione attuale log,0,1F,Istanza log,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richiesta configurazione attuale log risposta,80,1F,"Tipo log HH:
il tipo è un codice univoco deciso dall'amministratore tramite portale all'atto del configurare il log e viene usato per la decodifica dei dati binari dei record",Tipo log HL,Tipo log LH,Tipo log LL,"Istanza log:
una macchina può gestire più istanze di datalogger",Indirizzo Scheda Evento HH,Indirizzo Scheda Evento HL,Indirizzo Scheda Evento LH,Indirizzo Scheda Evento LL,Indirizzo Logico Evento H,Indirizzo Logico Evento L,Soglia Evento HH,Soglia Evento HL,Soglia Evento LH,Soglia Evento LL,Tipo trigger,Direzione trigger,Periodo ms H,Periodo ms L,Indirizzo Scheda HH,Indirizzo Scheda HL,Indirizzo Scheda LH,Indirizzo Scheda LL,Indirizzo Logico Data1 H,Indirizzo Logico Data1 L,…,Indirizzo Logico Data8 H,Indirizzo Logico Data8 L
Richiesta info fat log,0,20,Istanza log,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richiesta info fat log risposta (log usati, indice primo,etc)",80,20,Usati HH,Usati HL,Usati LH,Usati LL,Primo HH,Primo HL,Primo LH,Primo LL,Ultimo HH,Ultimo HL,Ultimo LH,Ultimo LL,,,,,,,,,,,,,,,,
Inizia sessione dati per gateway,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
